Topic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Dial's Algorithm,Easy,How does Dial's algorithm achieve better time complexity than standard Dijkstra for graphs with small integer weights?,By using recursion,By avoiding distance comparisons and using direct bucket access,By preprocessing all paths,By using dynamic programming,B
Dial's Algorithm,Easy,What is the maximum weight of an edge typically denoted as in Dial's algorithm?,V,E,W,C,C
Dial's Algorithm,Easy,Dial's algorithm was published in which year?,1959,1969,1979,1989,B
Dial's Algorithm,Easy,Which of the following graphs is best suited for Dial's algorithm?,"Graph with weights: 1000, 2000, 3000","Graph with weights: 1, 2, 3, 4, 5",Graph with negative weights,Graph with floating point weights,B
Dial's Algorithm,Easy,"In Dial's algorithm, what is the maximum number of buckets required?",V,E,W * V,V + E,C
Dial's Algorithm,Easy,Dial's algorithm is also known as:,Bucket-based Dijkstra,Heap-based Dijkstra,Fibonacci Dijkstra,Binary Dijkstra,A
Dial's Algorithm,Medium,What is the time complexity of Dial's algorithm?,O(V log V),O(E + V log V),O(E + WV),O(VE),C
Dial's Algorithm,Medium,"In the complexity O(E + WV), what does W represent?",The number of vertices,The number of edges,The maximum edge weight,The average edge weight,C
Dial's Algorithm,Medium,What is the space complexity of Dial's algorithm?,O(V),O(V + W),O(E + V),O(V log W),B
Dial's Algorithm,Medium,"In Dial's algorithm, when a vertex's distance is updated, what must be done?",Move it to a different bucket,Delete it from the graph,Run Dijkstra again,Increase its priority,A
Dial's Algorithm,Medium,How are buckets numbered in Dial's algorithm?,"0, 1, 2, ..., W*V","0, 1, 2, ..., V","0, 1, 2, ..., E","0, 1, 2, ..., W",A
Dial's Algorithm,Medium,"In Dial's algorithm, buckets are processed in which order?",Random order,Increasing order (0 to W*V),Decreasing order (W*V to 0),Order of insertion,B
Dial's Algorithm,Medium,"When the current bucket being processed is empty, what does the algorithm do?",Terminates,Moves to the next non-empty bucket,Doubles the bucket size,Restarts from bucket 0,B
Dial's Algorithm,Medium,What happens when the algorithm reaches the last bucket and there are still unprocessed vertices?,Algorithm terminates,Wrap around and continue from bucket 0,Increase the number of buckets,Report error,B
Dial's Algorithm,Medium,Dial's algorithm requires that edge weights be:,Negative integers,Non-negative integers,Positive real numbers,Any real numbers,B
Dial's Algorithm,Medium,Which of the following is a limitation of Dial's algorithm compared to standard Dijkstra?,It cannot find shortest paths,It has higher time complexity for large W,It requires more memory in all cases,It only works for trees,B
Dial's Algorithm,Hard,"If the maximum edge weight W is very large, Dial's algorithm becomes:",More efficient than Dijkstra,Less efficient than Dijkstra,Unusable,Identical to Dijkstra,B
Dial's Algorithm,Hard,"In Dial's algorithm, what is the purpose of using modulo arithmetic with buckets?",To reduce the number of buckets needed,To sort the vertices,To handle negative weights,To detect cycles,A
Dial's Algorithm,Hard,How many buckets are needed if we use the modulo optimization with parameter W+1?,W,W+1,V,V+W,B
Dial's Algorithm,Hard,What is the fundamental idea behind Dial's algorithm that enables linear time complexity in certain cases?,Using a binary heap,Using the fact that distances increase monotonically and within a bounded range,Using recursion instead of iteration,Using dynamic programming with memoization,B
Dial's Algorithm,Hard,Dial's algorithm is most suitable for graphs where:,W is O(1) or very small,V is very large,E is very large,The graph is dense,A
Dial's Algorithm,Hard,How does Dial's algorithm handle vertices with distances larger than W*V?,It cannot handle them without modifications,It uses a special overflow bucket,It terminates,It converts to standard Dijkstra,A
Dial's Algorithm,Hard,The bucket data structure in Dial's algorithm needs to support which operations efficiently?,"Insert, delete, and decrease-key",Push and pop only,Search and sort,Merge and split,A
Dial's Algorithm,Hard,Dial's algorithm can be viewed as a special case of which broader class of algorithms?,A* search algorithms,Dynamic programming algorithms,Monotone priority queue algorithms,Divide and conquer algorithms,C
Dial's Algorithm,Hard,What is the main advantage of Dial's algorithm over standard Dijkstra when W is small?,It can handle negative weights,It has better cache performance due to sequential bucket access,It uses less code,It works for all graph types,B
Dial's Algorithm,Hard,Which algorithm is a generalization of Dial's algorithm that uses multiple levels of buckets?,Radix heap,Fibonacci heap,Binomial heap,Pairing heap,A
Bellman-Ford Algorithm,Easy,What problem does the Bellman-Ford algorithm solve?,Finding the minimum spanning tree,Finding the shortest paths from a single source,Finding all pairs shortest paths,Finding the maximum flow,B
Bellman-Ford Algorithm,Easy,What is the main advantage of Bellman-Ford over Dijkstra's algorithm?,It is faster,It handles negative edge weights,It uses less memory,It works for all graph types,B
Bellman-Ford Algorithm,Easy,How many passes (iterations) does the Bellman-Ford algorithm make over all edges?,V,V-1,E,V+E,B
Bellman-Ford Algorithm,Easy,What does Bellman-Ford do after V-1 iterations?,Checks for negative cycles,Terminates,Runs V more iterations,Doubles the iterations,A
Bellman-Ford Algorithm,Easy,What does it indicate if distances can still be relaxed after V-1 iterations?,The graph has a positive cycle,The graph has a negative cycle,The algorithm is correct,The graph is disconnected,B
Bellman-Ford Algorithm,Easy,What is the time complexity of the Bellman-Ford algorithm?,O(V),O(E),O(V * E),O(V^2),C
Bellman-Ford Algorithm,Easy,What is the space complexity of the Bellman-Ford algorithm?,O(V),O(E),O(V * E),O(V^2),A
Bellman-Ford Algorithm,Easy,"In Bellman-Ford, what is the initialization step for the source vertex?",distance[source] = 0,distance[source] = infinity,distance[source] = -1,distance[source] = 1,A
Bellman-Ford Algorithm,Easy,"In Bellman-Ford, what is the initialization step for all other vertices?",distance[v] = 0,distance[v] = infinity,distance[v] = -1,distance[v] = 1,B
Bellman-Ford Algorithm,Easy,Which of the following graphs cannot be handled by Bellman-Ford?,Graph with positive edges,Graph with negative edges,Graph with negative cycles,Graph with zero-weight edges,C
Bellman-Ford Algorithm,Medium,"In the presence of a negative cycle, what happens to shortest paths?",They are well-defined,They are not defined (negative infinity),They become positive,They become zero,B
Bellman-Ford Algorithm,Medium,How does Bellman-Ford detect a negative cycle?,By running one extra relaxation iteration,By counting edges,By checking if all distances are finite,By using a priority queue,A
Bellman-Ford Algorithm,Medium,"If a graph has V vertices and no negative cycles, what is the maximum path length from source to any vertex?",V,V-1,E,Infinity,B
Bellman-Ford Algorithm,Medium,Why does Bellman-Ford need exactly V-1 iterations in the worst case?,Because the longest simple path can have at most V-1 edges,Because there are V vertices,Because there are V-1 edges,Because of mathematical induction,A
Bellman-Ford Algorithm,Medium,Bellman-Ford works for graphs with negative edges but not for graphs with:,Positive cycles,Negative cycles,Zero-weight edges,Self-loops,B
Bellman-Ford Algorithm,Medium,"In Bellman-Ford, what is a ""relaxation"" of an edge (u, v)?","if dist[u] + weight < dist[v], update dist[v]","if dist[u] > dist[v], swap them",Add weight to both vertices,Remove the edge,A
Bellman-Ford Algorithm,Medium,"For a graph with V vertices and E edges, how many relaxations does Bellman-Ford perform?",V,E,(V-1) * E,V * E,C
Bellman-Ford Algorithm,Medium,Which of the following algorithms can be used to detect negative cycles in a graph?,Dijkstra,Prim's,Kruskal's,Bellman-Ford,D
Bellman-Ford Algorithm,Medium,Bellman-Ford is based on which algorithmic paradigm?,Greedy,Divide and Conquer,Dynamic Programming,Backtracking,C
Bellman-Ford Algorithm,Medium,What happens if we run Bellman-Ford on a graph with a negative cycle reachable from the source?,Algorithm terminates normally,Algorithm detects the cycle and reports it,Algorithm runs forever,Distances become incorrect,B
Bellman-Ford Algorithm,Hard,What modification is needed to find the actual shortest path (not just distance) using Bellman-Ford?,Maintain a predecessor array,Use a stack,Use a queue,Reverse the graph,A
Bellman-Ford Algorithm,Hard,How can Bellman-Ford be optimized by early termination?,Stop when no relaxation occurs in an iteration,Stop after V/2 iterations,Stop when all distances are finite,Stop when source is reached,A
Bellman-Ford Algorithm,Hard,What is the best-case time complexity of the optimized Bellman-Ford (with early termination)?,O(V),O(E),O(V * E),O(V + E),B
Bellman-Ford Algorithm,Hard,"For a complete graph (dense), how does Bellman-Ford's complexity compare to Dijkstra?",Bellman-Ford is faster,Dijkstra is faster,Both are same,Depends on edge weights,B
Bellman-Ford Algorithm,Hard,"In Bellman-Ford, if edges are relaxed in a specific order, how many iterations might be needed for a DAG?",1,V-1,V/2,log V,A
Bellman-Ford Algorithm,Hard,The Bellman-Ford algorithm can be used for which of the following in a system of difference constraints?,Finding a feasible solution,Finding maximum flow,Finding minimum cut,Finding Eulerian path,A
Bellman-Ford Algorithm,Hard,What is the relationship between Bellman-Ford and linear programming?,Bellman-Ford solves a special case of linear programming,They are unrelated,Bellman-Ford is a linear programming algorithm,Bellman-Ford uses linear programming,A
Bellman-Ford Algorithm,Hard,"If a graph has negative cycles, what does Bellman-Ford return for vertices reachable from the cycle?",Correct distances,Negative infinity (or error),Zero,Positive infinity,B
Bellman-Ford Algorithm,Hard,How would you modify Bellman-Ford to find the longest path in a graph?,Negate all edge weights and run Bellman-Ford,Reverse all edges,Use > instead of < in relaxation,Add all weights,A
Bellman-Ford Algorithm,Hard,"For a graph with V vertices and E edges, what is the memory requirement if we also need to store paths?",O(V),O(E),O(V + E),O(V * E),C
Topological Sort,Easy,What is a topological sort of a directed graph?,"A linear ordering of vertices such that for every directed edge u->v, u comes after v","A linear ordering of vertices such that for every directed edge u->v, u comes before v",A sorting of vertices by their values,A reverse ordering of vertices,B
Topological Sort,Easy,On which type of graph can topological sort be applied?,Any directed graph,Any undirected graph,Directed Acyclic Graph (DAG),Any connected graph,C
Topological Sort,Easy,What happens if you try to perform topological sort on a graph with a cycle?,It produces a valid ordering,It produces a partial ordering,It fails or detects a cycle,It ignores the cycle,C
Topological Sort,Easy,Which of the following is a common application of topological sort?,Finding shortest path,Finding minimum spanning tree,Task scheduling with dependencies,Finding connected components,C
Topological Sort,Easy,What algorithm can be used to perform topological sort?,Depth-First Search (DFS),Breadth-First Search (BFS),Both DFS and BFS-based (Kahn's) algorithms,Neither,C
Topological Sort,Easy,"In Kahn's algorithm for topological sort, what data structure is used to store vertices with in-degree zero?",Stack,Queue,Priority Queue,Array,B
Topological Sort,Easy,What is the time complexity of topological sort using Kahn's algorithm on a graph with V vertices and E edges?,O(V),O(E),O(V + E),O(V * E),C
Topological Sort,Easy,What is the space complexity of topological sort?,O(V),O(E),O(V + E),O(1),A
Topological Sort,Easy,"In a DAG, how many topological orderings can exist?",Always one,At least one,Exactly two,Zero,B
Topological Sort,Easy,"In Kahn's algorithm, what does it indicate if the queue becomes empty before all vertices are processed?",The graph has a cycle,The graph is disconnected,The algorithm is complete,The graph has multiple sources,A
Topological Sort,Medium,"In DFS-based topological sort, when are vertices added to the ordering?",When first visited,Before exploring children,After exploring all descendants (post-order),At the start of DFS,C
Topological Sort,Medium,"In DFS-based topological sort, what must be done to detect cycles?",Track visited and recursion stack,Track only visited,Count vertices,Use a queue,A
Topological Sort,Medium,Which of the following is NOT a valid topological order of a DAG?,An order where all dependencies are satisfied,An order where a vertex appears before its predecessor,An order where a vertex appears after all its successors,Any permutation of vertices,D
Topological Sort,Medium,"Given edges: 1->3, 2->3, 3->4, which is a valid topological order?","1,2,3,4","4,3,2,1","3,1,2,4","2,1,4,3",A
Topological Sort,Medium,"Given edges: 1->2, 2->3, 1->3, which is a valid topological order?","1,2,3","1,3,2","3,2,1",Both A and B,A
Topological Sort,Medium,"In Kahn's algorithm, after removing a vertex u from the queue, what is updated?",In-degrees of u's neighbors,Out-degrees of u's neighbors,Both in and out degrees,Nothing,A
Topological Sort,Medium,"If a DAG has V vertices, what is the maximum number of topological orders possible?",V,V!,2^V,Depends on graph structure,D
Topological Sort,Medium,Which type of graph always has a unique topological order?,A complete DAG,A DAG with a Hamiltonian path,A DAG with no edges,A DAG with multiple sources,B
Topological Sort,Medium,Topological sort can be used to detect cycles in a directed graph. How?,"If result size < V, cycle exists","If result size > V, cycle exists",If any vertex has non-zero in-degree,If queue size > 1,A
Topological Sort,Medium,"In the context of topological sort, what is a ""source"" vertex?",A vertex with no outgoing edges,A vertex with no incoming edges,A vertex with maximum degree,The first vertex in ordering,B
Topological Sort,Hard,What is the minimum number of topological orders for a DAG with V vertices?,0,1,2,V,B
Topological Sort,Hard,"In a DAG, if there is a directed path from u to v, what must be true in any topological order?",u comes before v,u comes after v,u and v can be in any order,u and v must be adjacent,A
Topological Sort,Hard,How can topological sort be used to find the longest path in a DAG?,Process vertices in topological order and relax edges,Reverse the topological order,Use DFS instead,Use BFS instead,A
Topological Sort,Hard,"In Kahn's algorithm, what data structure can replace the queue to get a lexicographically smallest topological order?",Stack,Priority Queue (Min-Heap),Array,Deque,B
Topological Sort,Hard,"For a DAG with V vertices, what is the condition for having a unique topological order?",There is a Hamiltonian path,There is exactly one source,The graph is a tree,The graph is complete,A
Topological Sort,Hard,"In the DFS-based approach, if we reverse the graph and then run DFS, what do we get?",Topological order of original,Topological order of reversed graph,Strongly connected components,Cycles,B
Topological Sort,Hard,What is the relationship between topological sort and strongly connected components?,A graph with SCCs cannot be topologically sorted,"Each SCC can be condensed into a node, then sorted",Topological sort finds SCCs,No relationship,B
Topological Sort,Hard,How would you modify Kahn's algorithm to detect multiple valid topological orders?,Count the number of times queue has size > 1,Count total vertices processed,Count edges processed,Use a stack instead,A
Topological Sort,Hard,"In a DAG representing course prerequisites, what does a topological order represent?",A valid course schedule,The easiest courses first,The hardest courses first,The order of difficulty,A
Topological Sort,Hard,What is the worst-case space complexity of the DFS-based topological sort (including recursion stack) for a dense graph?,O(V),O(E),O(V + E),O(V^2),A
Heap Sort,Easy,What type of data structure is a heap?,A linear data structure,A tree-based data structure,A graph-based data structure,A hash-based data structure,B
Heap Sort,Easy,"In a max-heap, what is the relationship between parent and child nodes?",Parent <= Child,Parent >= Child,Parent = Child,No relationship,B
Heap Sort,Easy,"In a min-heap, what is the relationship between parent and child nodes?",Parent <= Child,Parent >= Child,Parent = Child,No relationship,A
Heap Sort,Easy,What is the time complexity of building a heap from an array of n elements (heapify)?,O(n),O(n log n),O(log n),O(n^2),A
Heap Sort,Easy,"What is the time complexity of Heap Sort in all cases (best, average, worst)?",O(n),O(n log n),O(n^2),O(log n),B
Heap Sort,Easy,What is the space complexity of Heap Sort (excluding input array)?,O(1),O(n),O(log n),O(n log n),A
Heap Sort,Easy,Which of the following is a step in Heap Sort?,Build heap from array,Repeatedly extract root and heapify,Both A and B,Partition the array,C
Heap Sort,Easy,"After building a max-heap, where is the largest element?",At the last index,At the root (first index),In the middle,At a leaf node,B
Heap Sort,Easy,"In Heap Sort, after swapping root with last element, what is done to the remaining heap?",Nothing,Heapify the root,Rebuild entire heap,Sort the remaining array,B
Heap Sort,Easy,Is Heap Sort stable?,Yes,No,Depends on implementation,Only for integers,B
Heap Sort,Medium,"In an array-based heap, if a node is at index i, where is its left child?",2i,2i + 1,2i + 2,i/2,B
Heap Sort,Medium,"In an array-based heap, if a node is at index i, where is its right child?",2i,2i + 1,2i + 2,i/2,C
Heap Sort,Medium,"In an array-based heap, if a node is at index i, where is its parent?",i/2 (floor division),2i,2i + 1,i - 1,A
Heap Sort,Medium,What is the worst-case time complexity of Heapify operation for a single node?,O(1),O(log n),O(n),O(n log n),B
Heap Sort,Medium,"In Heap Sort, after each extraction, the heap size:",Increases by 1,Decreases by 1,Remains same,Doubles,B
Heap Sort,Medium,Which step in Heap Sort takes O(n) time?,Building the heap,Extracting elements,Heapifying after extraction,Swapping elements,A
Heap Sort,Medium,Which step in Heap Sort takes O(log n) time per operation?,Building the heap,Extracting one element (including heapify),Swapping elements,Initial array creation,B
Heap Sort,Medium,How does Heap Sort compare to Quick Sort in terms of worst-case time complexity?,Heap Sort is better (O(n log n) vs O(n^2)),Quick Sort is better,Both are O(n log n),Both are O(n^2),A
Heap Sort,Medium,How does Heap Sort compare to Merge Sort in terms of space complexity?,Heap Sort is better (O(1) vs O(n)),Merge Sort is better,Both are O(1),Both are O(n),A
Heap Sort,Medium,"For sorting an array in descending order, which heap should be built?",Max-heap,Min-heap,Either works,Neither,B
Heap Sort,Hard,"In the array representation of a heap with n elements, what is the range of indices that are leaf nodes?",0 to n/2 - 1,n/2 to n-1,0 to n-1,1 to n,B
Heap Sort,Hard,Why is building a heap in O(n) possible even though heapify is O(log n) per node?,Because heapify is called only on non-leaf nodes and analysis shows linear total,Because heapify is O(1) for most nodes,Because of parallel processing,Because of caching,A
Heap Sort,Hard,What is the maximum number of comparisons in Heap Sort for n elements?,O(n),O(n log n),O(n^2),O(log n),B
Heap Sort,Hard,"If all elements in the array are equal, what is the time complexity of Heap Sort?",O(n),O(n log n),O(n^2),O(1),B
Heap Sort,Hard,How would you implement a stable version of Heap Sort?,Use indices as tie-breakers,Use a min-heap instead,Use a max-heap instead,Stable heap sort is impossible,A
Heap Sort,Hard,"In Heap Sort, after building the max-heap, the array is in which order?",Sorted ascending,Sorted descending,Partially ordered (heap order),Random order,C
Heap Sort,Hard,What is the advantage of Heap Sort over Quick Sort in terms of memory?,In-place sorting (O(1) space),Better cache performance,Handles duplicates better,Easier to implement,A
Heap Sort,Hard,What is the disadvantage of Heap Sort compared to Quick Sort in practice?,Poor cache performance,Higher time complexity,Unstable,Difficult to implement,A
Heap Sort,Hard,"For an array of size n, how many times is heapify called during the extraction phase?",n,n-1,n/2,log n,B
Heap Sort,Hard,"In a max-heap, where is the smallest element located?",At the root,At a leaf node,At index n-1,Cannot be determined,B
HashMap to TreeMap,Easy,Which of the following statements about HashMap and TreeMap is correct?,Both are sorted,HashMap does not allow null keys,Both are thread-safe,"HashMap uses hashing, TreeMap uses Red-Black tree",D
HashMap to TreeMap,Easy,What is the time complexity of get() operation in a HashMap (assuming good hash function)?,O(1),O(log n),O(n),O(n log n),A
HashMap to TreeMap,Easy,What is the time complexity of get() operation in a TreeMap?,O(1),O(log n),O(n),O(n log n),B
HashMap to TreeMap,Easy,Which interface do both HashMap and TreeMap implement in Java?,List,Set,Map,Queue,C
HashMap to TreeMap,Easy,Which of the following allows null keys?,TreeMap,HashMap,Both,Neither,B
HashMap to TreeMap,Easy,Which of the following maintains keys in sorted order?,HashMap,TreeMap,Hashtable,LinkedHashMap,B
HashMap to TreeMap,Easy,What does TreeMap use to maintain order?,Hash function,Red-Black tree,Binary heap,Linked list,B
HashMap to TreeMap,Easy,What is the initial capacity of a default HashMap in Java?,8,16,32,64,B
HashMap to TreeMap,Easy,Which of the following classes is thread-safe?,Hashtable,ArrayList,HashMap,TreeMap,A
HashMap to TreeMap,Easy,What happens if you try to insert a duplicate key in a HashMap?,Exception is thrown,Old value is replaced,New entry is ignored,Both keys are stored,B
HashMap to TreeMap,Medium,"Given a HashMap with initial capacity 16 and load factor 0.75, at what size does rehashing occur?",12,13,16,24,B
HashMap to TreeMap,Medium,What is the time complexity of inserting n elements into a TreeMap in worst case?,O(n),O(n log n),O(n^2),O(log n),B
HashMap to TreeMap,Medium,Which of these statements about HashMap is false?,Allows one null key,Allows multiple null values,Iteration order is predictable,Not thread-safe,C
HashMap to TreeMap,Medium,What is the space complexity of a HashMap storing N key-value pairs?,O(1),O(log N),O(N),O(N^2),C
HashMap to TreeMap,Medium,How does TreeMap compare keys?,Using hashCode(),Using equals(),Using Comparator or Comparable,Using System.identityHashCode(),C
HashMap to TreeMap,Medium,Which of the following is a valid way to convert a HashMap to a TreeMap?,new TreeMap<>(hashMap),hashMap.toTreeMap(),TreeMap.copyOf(hashMap),HashMap.toSortedMap(),A
HashMap to TreeMap,Medium,What is the worst-case time complexity of HashMap get() when many hash collisions occur?,O(1),O(log n),O(n),O(n log n),C
HashMap to TreeMap,Medium,"In Java 8+, when does a HashMap bucket convert from linked list to Red-Black tree?",When bucket size exceeds 8,When bucket size exceeds 16,When load factor exceeds 0.75,When map size exceeds capacity,A
HashMap to TreeMap,Medium,Which of the following is a disadvantage of TreeMap over HashMap?,Slower for basic operations,Does not allow null keys,Does not maintain order,Uses more memory,A
HashMap to TreeMap,Medium,"What does the following code print? Map<String,Integer> map = new HashMap<>(); map.put(""a"",1); map.put(""b"",2); System.out.println(map.get(""c""));",0,null,Exception,-1,B
HashMap to TreeMap,Hard,What is the time complexity of floorKey() operation in TreeMap?,O(1),O(log n),O(n),O(n log n),B
HashMap to TreeMap,Hard,"Given a HashMap with a bad hash function that puts all keys in same bucket, what is the time complexity for get() after Java 8's treeification?",O(1),O(log n),O(n),O(n log n),B
HashMap to TreeMap,Hard,Which of the following code snippets correctly iterates over a TreeMap's entries in descending order?,treeMap.descendingMap().entrySet(),treeMap.reverse().entrySet(),treeMap.entrySet().descending(),treeMap.tailMap().entrySet(),A
HashMap to TreeMap,Hard,What is the memory overhead per entry in a HashMap compared to TreeMap?,HashMap has higher overhead,TreeMap has higher overhead,Same,Depends on load factor,B
HashMap to TreeMap,Hard,What happens if you put a key that is not Comparable into a TreeMap without providing a Comparator?,Compilation error,Runtime ClassCastException,Key is added at end,Key is hashed,B
HashMap to TreeMap,Hard,Which of the following is true about HashMap's load factor?,Lower load factor increases memory but reduces collisions,Higher load factor always improves performance,Load factor cannot be changed,Default load factor is 1.0,A
HashMap to TreeMap,Hard,"Given TreeMap tm = new TreeMap(); tm.put(1,""A""); tm.put(2,""B""); tm.put(3,""C""); What is tm.subMap(1,3).keySet()?","{1,2}","{2,3}","{1,2,3}","{1,3}",A
HashMap to TreeMap,Hard,How does HashMap determine the bucket index for a key?,key.hashCode() % capacity,key.hashCode() & (capacity-1),key.hashCode(),Math.abs(key.hashCode()) % capacity,B
HashMap to TreeMap,Hard,What is the time complexity of clear() operation on a TreeMap?,O(1),O(log n),O(n),O(n log n),A
HashMap to TreeMap,Hard,Which of the following will preserve insertion order?,HashMap,TreeMap,LinkedHashMap,Hashtable,C
Types of Sets,Easy,Which of the following is an unordered collection that does not allow duplicates?,List,Set,Map,Queue,B
Types of Sets,Easy,Which Set implementation maintains elements in sorted order?,HashSet,LinkedHashSet,TreeSet,EnumSet,C
Types of Sets,Easy,What is the time complexity of add() operation in HashSet (average case)?,O(1),O(log n),O(n),O(n log n),A
Types of Sets,Easy,Which Set implementation allows null elements?,TreeSet,HashSet,Both,Neither,B
Types of Sets,Easy,What is the time complexity of contains() in TreeSet?,O(1),O(log n),O(n),O(n log n),B
Types of Sets,Easy,Which Set implementation uses a Red-Black tree internally?,HashSet,LinkedHashSet,TreeSet,ConcurrentSkipListSet,C
Types of Sets,Easy,What does LinkedHashSet maintain in addition to the hash table?,Sorted order,Insertion order,Reverse order,Priority order,B
Types of Sets,Easy,What is the initial capacity of a default HashSet?,8,16,32,64,B
Types of Sets,Easy,Which Set is best for storing unique elements when insertion order matters?,HashSet,TreeSet,LinkedHashSet,EnumSet,C
Types of Sets,Easy,What does the following code print? Set<Integer> set = new HashSet<>(); set.add(1); set.add(1); System.out.println(set.size());,0,1,2,Exception,B
Types of Sets,Medium,What is the time complexity of removing an element from a HashSet in worst case (before Java 8)?,O(1),O(log n),O(n),O(n log n),C
Types of Sets,Medium,"Given a TreeSet of 1000 elements, what is the time complexity of finding the smallest element?",O(1),O(log 1000),O(1000),O(1000 log 1000),A
Types of Sets,Medium,Which Set implementation is not thread-safe?,HashSet,TreeSet,LinkedHashSet,All of the above,D
Types of Sets,Medium,What happens if you add a duplicate element to a Set?,Exception is thrown,Element is ignored and false is returned,Element replaces old one,Set becomes corrupted,B
Types of Sets,Medium,What is the space complexity of a HashSet storing N elements?,O(1),O(N),O(N log N),O(N^2),B
Types of Sets,Medium,Which of the following is a disadvantage of TreeSet compared to HashSet?,Slower for basic operations,Does not allow null,Maintains order,Uses more memory,A
Types of Sets,Medium,"Given the code: Set<String> set = new TreeSet<>(); set.add(""b""); set.add(""a""); set.add(""c""); What is output when iterated?","a,b,c","b,a,c","c,b,a",Depends on JVM,A
Types of Sets,Medium,What is the time complexity of adding N elements to a HashSet in average case?,O(N),O(N log N),O(N^2),O(log N),A
Types of Sets,Medium,Which Set implementation is backed by a HashMap?,TreeSet,LinkedHashSet,HashSet,ConcurrentSkipListSet,C
Types of Sets,Medium,What is the load factor of a default HashSet?,0.5,0.75,1,1.5,B
Types of Sets,Hard,"Given a TreeSet with custom Comparator that returns 0 for two different objects, what happens?",Both objects are stored,Second object replaces first,Exception is thrown,Set becomes unsorted,B
Types of Sets,Hard,What is the time complexity of subset operations like headSet() in TreeSet?,O(1),O(log n),O(n),O(k log n) where k is size of subset,B
Types of Sets,Hard,Which of the following is true about EnumSet?,It is slower than HashSet,It uses bit vectors,It allows null elements,It maintains insertion order,B
Types of Sets,Hard,How does HashSet detect duplicates?,Using hashCode() and equals(),Using compareTo(),Using == operator,Using identityHashCode(),A
Types of Sets,Hard,What is the worst-case time complexity of HashSet for add() after Java 8 treeification?,O(1),O(log n),O(n),O(n log n),B
Types of Sets,Hard,"Given a TreeSet, what is the time complexity of pollFirst()?",O(1),O(log n),O(n),O(n log n),B
Types of Sets,Hard,What is the memory consumption of LinkedHashSet compared to HashSet?,Less,Same,More (due to linked list),Depends on elements,C
Types of Sets,Hard,Which Set implementation is best for storing a fixed set of enum constants?,HashSet,TreeSet,LinkedHashSet,EnumSet,D
Types of Sets,Hard,What happens when you try to store a null in a TreeSet?,Null is stored at beginning,Null is stored at end,ClassCastException at runtime,Compilation error,C
Types of Sets,Hard,"Given two HashSet objects with same elements but different insertion order, are they equal?","Yes, equals() compares elements","No, order matters",Only if sizes equal,Depends on hash codes,A
Distributing items when a person cannot take more than two items of same type,Easy,"In a distribution problem where a person cannot take more than two items of the same type, what is the maximum number of identical items one can take?",0,1,2,Unlimited,C
Distributing items when a person cannot take more than two items of same type,Easy,"If there are 5 types of items, each available in unlimited quantity, what is the maximum number of items a person can take under the constraint of at most two per type?",5,10,15,Unlimited,B
Distributing items when a person cannot take more than two items of same type,Easy,"Given item frequencies: A:3, B:4, C:2. How many items can a single person take under the constraint?",4,5,6,7,C
Distributing items when a person cannot take more than two items of same type,Easy,What is the time complexity of a greedy algorithm that takes up to two of each type?,O(1),O(n),O(n log n),O(n^2),B
Distributing items when a person cannot take more than two items of same type,Easy,"If there are k types and each type has at least 2 items, the maximum a person can take is:",k,2k,3k,k^2,B
Distributing items when a person cannot take more than two items of same type,Easy,Which data structure is suitable for storing item counts in this problem?,HashMap,Tree,Graph,Stack,A
Distributing items when a person cannot take more than two items of same type,Easy,"If type A has 1 item, type B has 5 items, what is the maximum person can take under constraint?",3,4,5,6,A
Distributing items when a person cannot take more than two items of same type,Easy,"The constraint ""at most two of same type"" is an example of:",Capacity constraint,Budget constraint,Time constraint,Space constraint,A
Distributing items when a person cannot take more than two items of same type,Easy,"What is the output for distribution: counts = [3,1,2] with max 2 per type?",3+1+2=6,2+1+2=5,3+2+2=7,2+1+1=4,B
Distributing items when a person cannot take more than two items of same type,Easy,Which algorithm is simplest for this problem?,Dynamic Programming,Backtracking,"Greedy take min(2,count)",Divide and Conquer,C
Distributing items when a person cannot take more than two items of same type,Medium,"Given counts [5,5,5,5] and constraint 2 per type, total taken = 8. What is the remaining after distribution?","[3,3,3,3]","[2,2,2,2]","[5,5,5,5]","[0,0,0,0]",A
Distributing items when a person cannot take more than two items of same type,Medium,What is the time complexity to compute total distributable items given array of counts of length n?,O(1),O(n),O(n log n),O(n^2),B
Distributing items when a person cannot take more than two items of same type,Medium,"If multiple persons share the constraint, what additional complexity arises?",None,Need to track global count per type,Need to sort persons,Need to use tree,B
Distributing items when a person cannot take more than two items of same type,Medium,What is the maximum number of persons that can be served if each person takes up to 2 per type and total items per type is limited?,sum over types floor(count[i]/2),2 * number of types,total items / 2,depends,A
Distributing items when a person cannot take more than two items of same type,Medium,"Given counts = [10,0,10], max 2 per person per type, how many persons can receive 2 of each type (max)?",5,0,10,Not possible,B
Distributing items when a person cannot take more than two items of same type,Medium,What data structure can be used to efficiently find types with remaining items?,Priority queue,Stack,Queue,Array,A
Distributing items when a person cannot take more than two items of same type,Medium,"Given counts [2,2,2,2] and 2 persons, each takes up to 2 per type, what is the maximum total items distributed?",8,16,4,12,A
